date,volume
2024-06-14,22813223
2024-06-15,12962498
2024-06-16,9749999
2024-06-17,28724839
2024-06-18,24445265
2024-06-19,14738926
2024-06-20,14546664
2024-06-21,19217974
2024-06-22,12230082
2024-06-23,9120658
2024-06-24,27687833
2024-06-25,20216910
2024-06-26,22950362
2024-06-27,19123977
2024-06-28,18643878
2024-06-29,21613106
2024-06-30,10338423
2024-07-01,30325637
2024-07-02,12685328
2024-07-03,22461318
2024-07-04,38341275
2024-07-05,69578379
2024-07-06,21564883
2024-07-07,32768304
2024-07-08,38685260
2024-07-09,20322711
2024-07-10,20117181
2024-07-11,30810306
2024-07-12,25121936
2024-07-13,32344447
2024-07-14,24845958
2024-07-15,19268389
2024-07-16,30540953
2024-07-17,20244389
2024-07-18,23557959
2024-07-19,27366323
2024-07-20,11531825
2024-07-21,14615553
2024-07-22,50628658
2024-07-23,25841816
2024-07-24,20660880
2024-07-25,27624732
2024-07-26,12237286
2024-07-27,10644212
2024-07-28,17481339
2024-07-29,73150744
2024-07-30,30283567
2024-07-31,33464226
2024-08-01,29574456
2024-08-02,39449654
2024-08-03,35570056
2024-08-04,39771661
2024-08-05,86817460
2024-08-06,26431918
2024-08-07,20820809
2024-08-08,19867366
2024-08-09,16022927
2024-08-10,12772742
2024-08-11,12271528
2024-08-12,18593939
2024-08-13,25457954
2024-08-14,25817732
2024-08-15,28241217
2024-08-16,61062691
2024-08-17,58883399
2024-08-18,48017511
2024-08-19,137954261
2024-08-20,183432982
2024-08-21,216940135
2024-08-22,221940108
2024-08-23,237888993
2024-08-24,237888993
2024-08-25,272977720
2024-08-26,261305121
2024-08-27,233649976
2024-08-28,178316232
2024-08-29,180494005
2024-08-30,132365735
2024-08-31,96635005
2024-09-01,101254149
2024-09-02,102278494
2024-09-03,111798576
2024-09-04,109707010
2024-09-05,68080085
2024-09-06,81141089
2024-09-07,77577013
2024-09-08,71549424
2024-09-09,79556705
2024-09-10,69552184
2024-09-11,66101590
2024-09-12,85952295
2024-09-13,59129158
2024-09-14,56442790
2024-09-15,52475817
2024-09-16,66422533
2024-09-17,71241386
2024-09-18,72930834
2024-09-19,73749156
2024-09-20,60385580
2024-09-21,30644652
2024-09-22,39371495
2024-09-23,45715250
2024-09-24,40766576
2024-09-25,41951219
2024-09-26,52755229
2024-09-27,58979415
2024-09-28,44721687
2024-09-29,41901699
2024-09-30,55342602
2024-10-01,78498173
2024-10-02,93826575
2024-10-03,68327766
2024-10-04,44218934
2024-10-05,34356223
2024-10-06,29248684
2024-10-07,51293696
2024-10-08,68895195
2024-10-09,58349743
2024-10-10,39558433
2024-10-11,45792464
2024-10-12,44485817
2024-10-13,37334088
2024-10-14,59318133
2024-10-15,43361720
2024-10-16,28905543
2024-10-17,25226916
2024-10-18,21108951
2024-10-19,29446602
2024-10-20,18224479
2024-10-21,37328039
2024-10-22,41528385
2024-10-23,28905118
2024-10-24,40743015
2024-10-25,67597068
2024-10-26,35103529
2024-10-27,25901524
2024-10-28,28334211
2024-10-29,37813078
2024-10-30,34775481
2024-10-31,34107670
2024-11-01,38825652
2024-11-02,24671197
2024-11-03,35048057
2024-11-04,36267095
2024-11-05,31449174
2024-11-06,54397475
2024-11-07,40589437
2024-11-08,26306981
2024-11-09,25984482
2024-11-10,70862001
2024-11-11,77141765
2024-11-12,158342806
2024-11-13,103063663
2024-11-14,102122873
2024-11-15,89826467
2024-11-16,68215497
2024-11-17,74523463
2024-11-18,66653325
2024-11-19,63884933
2024-11-20,58608049
2024-11-21,71400446
2024-11-22,60371596
2024-11-23,131297557
2024-11-24,132874792
2024-11-25,112199208
2024-11-26,132542101
2024-11-27,64993937
2024-11-28,67115279
2024-11-29,49055257
2024-11-30,45491992
2024-12-01,59005020
2024-12-02,204310882
2024-12-03,385600021
2024-12-04,324436715
2024-12-05,675914023
2024-12-06,245965694
2024-12-07,165983480
2024-12-08,121933738
2024-12-09,182543493
2024-12-10,241246014
2024-12-11,184912309
2024-12-12,352166470
2024-12-13,183459542
2024-12-14,135702997
2024-12-15,105219473
2024-12-16,105219473
